,书名,作者,评分,a,评价人数,b,简介
82,"羊脂球
","['（法）莫泊桑 ', ' 柳鸣九 ', ' 北京燕山出版社 ', ' 2007-6 ', ' 13.50元\n']","8.1
","数：(
","                 49105人评价
","             )
","资产阶级的道貌岸然
"
83,"无人生还
","['[英] 阿加莎・克里斯蒂 ', ' 祁阿红 ', ' 人民文学出版社 ', ' 2008-3 ', ' 19.00\n']","8.9
","数：(
","                 43649人评价
","             )
","童谣杀人案
"
84,"喜宝
","['亦舒 ', ' 新世界出版社 ', ' 2007-2 ', ' 22.00元\n']","8.0
","数：(
","                 48593人评价
","             )
","爱情才是终极的奢侈品
"
85,"呐喊
","['鲁迅 ', ' 人民文学出版社 ', ' 1973年3月 ', ' 0.36元\n']","8.8
","数：(
","                 43178人评价
","             )
","新文学的第一声呐喊
"
86,"巨人的陨落
","['[英] 肯·福莱特 ', ' 于大卫 ', ' 江苏凤凰文艺出版社 ', ' 2016-5-1 ', ' 129.80元\n']","8.9
","数：(
","                 42551人评价
","             )
","五个家族，一场战争
"
87,"了不起的盖茨比
","['菲茨杰拉德 ', ' 姚乃强 ', ' 人民文学出版社 ', ' 2004-06 ', ' 12.00元\n']","8.3
","数：(
","                 46296人评价
","             )
","梦，就像黛西家的那一缕绿光
"
88,"爱你就像爱生命
","['王小波 ', ' 上海锦绣文章出版社 ', ' 2008-5 ', ' 18.00元\n']","8.8
","数：(
","                 43536人评价
","             )
","王小波与李银河的两地书
"
89,"红玫瑰与白玫瑰
","['张爱玲 ', ' 花城出版社 ', ' 1996-06 ', ' 12.80元\n']","8.4
","数：(
","                 45625人评价
","             )
","蚊子血还是饭黏子？
"
90,"陪安东尼度过漫长岁月
","['安东尼 ', ' 长江文艺出版社 ', ' 2008-3 ', ' 18.00\n']","8.3
","数：(
","                 45339人评价
","             )
","真正的片段式写作
"
91,"乌合之众
","['（法）勒庞 ', ' 冯克利 ', ' 中央编译出版社 ', ' 2011-5-1 ', ' 16.00元\n']","8.3
","数：(
","                 46149人评价
","             )
","群氓心理剖析
"
92,"动物农场
","['[英] 乔治·奥威尔 ', ' 荣如德 ', ' 上海译文出版社 ', ' 2007-3 ', ' 10.00元\n']","9.2
","数：(
","                 40514人评价
","             )
","太阳底下并无新事
"
93,"华胥引（全二册）
","['唐七公子 ', ' 现代出版社 ', ' 2011-1 ', ' 39.80元\n']","8.4
","数：(
","                 43760人评价
","             )
","现实不如梦中的圆满
"
94,"鬼吹灯之精绝古城
","['天下霸唱 ', ' 安徽文艺出版社 ', ' 2006 ', ' 25.0\n']","8.1
","数：(
","                 44340人评价
","             )
","盗墓祖师名不虚传
"
95,"安徒生童话故事集
","['（丹麦）安徒生 ', ' 叶君健 ', ' 人民文学出版社 ', ' 1997-08 ', ' 25.00\n']","9.2
","数：(
","                 39239人评价
","             )
","远不是童话那么简单
"
96,"骆驼祥子
","['老舍 ', ' 人民文学出版社 ', ' 2000-3-1 ', ' 12.00\n']","8.3
","数：(
","                 43423人评价
","             )
","如骆驼喘息般深刻的绝望
"
97,"半生缘
","['张爱玲 ', ' 北京十月文艺出版社 ', ' 2006-12 ', ' 28.00元\n']","8.6
","数：(
","                 41496人评价
","             )
","世钧，我们回不去了
"
98,"地下铁
","['幾米 ', ' 辽宁教育出版社 ', ' 2002-2 ', ' 32.00元\n']","8.3
","数：(
","                 41039人评价
","             )
","黑暗世界中的点滴亮光
"
99,"射雕英雄传（全四册）
","['金庸 ', ' 生活·读书·新知三联书店 ', ' 1999-04 ', ' 47.00元\n']","8.9
","数：(
","                 36720人评价
","             )
","侠之大者，为国为民
"
100,"房思琪的初恋乐园
","['林奕含 ', ' 北京联合出版公司 ', ' 2018-1 ', ' 45.00元\n']","9.2
","数：(
","                 35360人评价
","             )
","以血书写的文学
"
101,"如何阅读一本书
","['[美] 莫提默·J. 艾德勒 ', ' 郝明义 ', ' 商务印书馆 ', ' 2004-1 ', ' 38.00元\n']","8.4
","数：(
","                 38509人评价
","             )
","读书的方法论
"
